"","SRR13535277","SRR13535279","SRR13535281","SRR13535283","SRR13535285","SRR13535287","SRR13535289","SRR13535291","SRR13535293","SRR13535295","SRR13535297","SRR13535299","SRR13535301","SRR13535303","SRR13535305","SRR13535307","SRR13535309","SRR13535311"
"mmu-miR-582-3p",33,262,41,68,150,37,165,319,115,325,11,16,0,0,56,125,280,1174
"mmu-miR-582-5p",0,16,0,0,15,25,14,13,0,2,0,0,0,0,0,0,0,0
"mmu-miR-598-3p",0,9,0,0,2,0,0,18,3,0,0,0,0,0,3,8,0,68
"mmu-miR-615-3p",959,12861,1246,2304,6988,1856,4580,8969,4707,6743,226,695,154,134,358,1533,1789,1505
"mmu-miR-615-5p",12,146,29,20,74,28,100,83,94,146,17,15,324,1,10,56,336,441
"mmu-miR-6236",0,0,0,0,16,0,2,0,0,9,1,0,0,0,1,4,0,0
"mmu-miR-6238",1,8,0,0,7,11,1,3,0,0,0,0,0,0,2,0,25,18
"mmu-miR-6239",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6240",166,962,400,313,1373,344,901,1392,590,731,156,82,79,71,48,457,570,252
"mmu-miR-6418-3p",0,12,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
"mmu-miR-6516-5p",0,49,0,0,14,0,32,16,0,29,0,0,0,0,1,0,0,124
"mmu-miR-6516-3p",0,0,0,8,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-652-3p",4,173,3,21,104,45,123,225,98,139,4,11,0,0,4,0,63,51
"mmu-miR-6538",4,6,0,1,48,2,2,15,5,19,3,0,0,0,1,0,0,0
"mmu-miR-6539",0,15,0,0,11,18,0,15,8,12,0,3,0,0,1,0,0,74
"mmu-miR-6540-5p",0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6546-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-664-5p",17,111,21,12,50,57,58,123,75,175,13,17,0,0,5,37,136,394
"mmu-miR-664-3p",21,111,30,4,31,12,49,52,26,67,8,11,0,0,1,0,0,0
"mmu-miR-669a-5p",0,3,0,0,3,0,7,8,1,0,0,0,0,0,2,0,43,0
"mmu-miR-669a-3p",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-669b-5p",0,7,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
"mmu-miR-669c-5p",0,8,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,0
"mmu-miR-669d-5p",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-669f-3p",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-669h-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-669k-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-669o-5p",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"mmu-miR-669o-3p",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-669p-5p",0,3,0,0,3,0,7,8,1,0,0,0,0,0,2,0,43,0
"mmu-miR-671-3p",90,369,124,135,346,123,382,564,235,357,0,80,1,1,111,215,191,3460
"mmu-miR-671-5p",8,37,0,45,4,18,6,0,0,44,0,0,0,0,2,13,0,0
"mmu-miR-674-3p",71,561,111,75,393,97,277,603,432,549,34,41,1,1,27,81,102,299
"mmu-miR-674-5p",3,58,14,0,21,0,18,48,0,25,0,0,0,0,3,22,0,82
"mmu-miR-675-3p",0,1,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-676-3p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9,0,0
"mmu-miR-6769b-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6769b-3p",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"mmu-miR-677-5p",19,95,28,0,65,54,33,106,31,67,3,0,0,0,17,114,63,0
"mmu-miR-677-3p",0,3,0,0,5,0,0,0,1,1,0,0,0,0,0,0,0,0
"mmu-miR-6896-5p",0,2,0,0,0,0,0,21,0,12,0,0,0,0,1,0,0,82
"mmu-miR-6899-3p",0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6899-5p",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-690",4,39,0,31,81,22,16,77,17,11,1,0,0,0,1,10,0,0
"mmu-miR-6901-5p",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6903-3p",0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"mmu-miR-6904-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-6905-5p",3,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6907-3p",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"mmu-miR-6909-5p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6911-3p",5,28,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0
"mmu-miR-6912-5p",0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0
"mmu-miR-6913-3p",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6914-3p",0,1,0,0,0,0,1,0,7,0,0,1,0,0,0,0,40,0
"mmu-miR-6916-5p",0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6920-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6922-5p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0
"mmu-miR-6925-5p",4,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0
"mmu-miR-693-3p",0,4,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-6930-5p",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6932-5p",0,0,0,0,0,0,0,16,7,0,0,0,0,0,0,0,0,0
"mmu-miR-6933-5p",0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
"mmu-miR-6939-3p",0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-694",0,5,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
"mmu-miR-6943-3p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6944-3p",140,1066,141,218,484,142,580,1072,394,1469,56,72,0,1,5,42,51,3
"mmu-miR-6944-5p",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6945-3p",0,19,0,14,6,0,7,0,0,14,0,0,0,0,0,0,0,0
"mmu-miR-6946-5p",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6948-3p",0,11,0,0,9,0,7,21,15,0,0,0,0,0,0,6,0,0
"mmu-miR-6952-3p",0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-6952-5p",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6953-5p",0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0
"mmu-miR-6953-3p",0,5,0,0,2,0,3,9,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6955-5p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6958-3p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-696",0,0,0,0,12,6,0,0,2,0,0,0,0,0,0,0,0,0
"mmu-miR-6960-5p",3,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,59,0
"mmu-miR-6963-3p",0,0,0,0,0,0,3,6,0,2,0,0,0,0,0,0,0,0
"mmu-miR-6970-5p",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6970-3p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6977-5p",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"mmu-miR-6977-3p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6978-3p",0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6979-3p",0,0,0,0,5,0,0,10,2,0,0,0,0,0,0,0,0,0
"mmu-miR-6986-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6988-3p",0,4,0,0,9,0,0,16,12,4,0,1,0,0,0,0,0,0
"mmu-miR-6990-5p",3,0,2,0,1,1,5,30,0,26,0,0,0,0,1,2,30,0
"mmu-miR-6991-5p",0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0
"mmu-miR-6994-5p",0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6995-5p",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6996-5p",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-6997-5p",0,11,0,0,0,0,0,0,0,18,1,0,0,0,0,0,0,0
"mmu-miR-6998-5p",0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-700-3p",0,5,7,3,10,10,6,0,0,0,3,0,0,0,3,0,47,61
"mmu-miR-700-5p",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7000-3p",0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7009-5p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7012-5p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7013-3p",0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7014-5p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7015-3p",0,0,0,0,5,0,6,11,2,0,1,0,0,0,0,0,0,0
"mmu-miR-7018-3p",0,19,0,0,0,0,4,0,4,17,0,0,0,0,0,0,0,0
"mmu-miR-702-3p",0,4,0,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-702-5p",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7022-3p",0,3,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"mmu-miR-703",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7031-5p",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7032-3p",0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7033-5p",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7035-3p",0,38,0,0,1,4,2,58,15,16,0,4,0,0,0,10,90,0
"mmu-miR-7036a-3p",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7039-3p",0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
"mmu-miR-704",2,14,7,0,0,0,8,4,3,0,0,5,0,0,0,0,0,0
"mmu-miR-7042-5p",0,4,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7046-3p",0,0,0,5,0,0,0,0,7,27,0,1,0,0,0,0,0,0
"mmu-miR-7050-5p",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7057-5p",0,4,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
"mmu-miR-7057-3p",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7059-5p",0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-706",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7063-5p",0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7063-3p",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7064-3p",0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0
"mmu-miR-7064-5p",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7067-5p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7068-3p",6,22,0,4,25,1,21,65,26,50,2,2,0,0,0,18,189,77
"mmu-miR-7068-5p",0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0
"mmu-miR-7069-3p",0,2,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7069-5p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7070-3p",0,0,0,0,0,0,4,1,6,0,0,0,0,0,0,0,0,0
"mmu-miR-7070-5p",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7071-3p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-7074-3p",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"mmu-miR-708-3p",3,23,3,22,16,32,13,101,15,113,4,8,0,92,5,89,70,0
"mmu-miR-708-5p",0,3,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7081-3p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7082-3p",0,21,0,2,8,0,5,38,2,10,1,0,0,0,0,0,0,0
"mmu-miR-7083-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7084-5p",8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"mmu-miR-7084-3p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7085-3p",0,1,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0
"mmu-miR-709",0,2,0,0,10,0,2,0,9,5,0,0,0,0,0,0,0,0
"mmu-miR-7091-5p",0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7093-5p",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7093-3p",0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7116-5p",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7117-5p",0,7,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0
"mmu-miR-7118-3p",0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-712-5p",0,6,0,0,4,0,0,10,2,3,0,0,0,0,0,4,0,0
"mmu-miR-712-3p",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"mmu-miR-714",0,0,0,0,0,0,0,9,2,0,0,0,0,0,0,0,0,0
"mmu-miR-7219-3p",0,1,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
"mmu-miR-7224-3p",3,10,3,4,0,0,4,0,0,0,0,3,0,0,0,0,0,0
"mmu-miR-7226-3p",0,0,0,14,7,0,3,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-7236-3p",0,10,0,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7237-3p",0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7240-5p",5,49,0,0,4,29,7,17,14,0,3,2,0,25,3,9,91,0
"mmu-miR-7240-3p",1,22,0,0,1,0,4,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-741-3p",20,47,6,10,81,26,22,44,11,116,4,3,0,0,3,7,18,107
"mmu-miR-743b-3p",0,7,0,0,9,0,12,0,3,20,0,0,0,0,0,0,0,0
"mmu-miR-744-5p",493,3480,594,725,2254,821,2257,3341,2067,4105,106,285,711,71,270,545,796,3643
"mmu-miR-744-3p",1,21,0,0,2,0,4,19,11,4,0,0,0,0,0,0,0,0
"mmu-miR-760-3p",5,18,0,4,14,13,3,39,10,6,0,2,0,0,0,0,0,0
"mmu-miR-7648-3p",0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0
"mmu-miR-7650-5p",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7652-5p",0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0
"mmu-miR-7653-3p",0,4,7,6,10,0,5,22,5,0,0,1,0,0,0,0,0,0
"mmu-miR-7655-5p",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"mmu-miR-7661-3p",0,5,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0
"mmu-miR-7667-5p",0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7668-5p",0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7668-3p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-7669-3p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7670-3p",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7671-3p",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"mmu-miR-7673-3p",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7675-3p",0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
"mmu-miR-7676-3p",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7677-3p",0,0,0,0,0,5,0,15,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7680-3p",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7681-5p",0,0,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7687-5p",0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0
"mmu-miR-7688-5p",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-7689-3p",0,2,0,0,3,0,0,12,0,0,0,2,0,0,0,0,0,0
"mmu-miR-7a-1-3p",0,0,0,0,10,0,3,5,0,0,0,0,0,0,0,0,0,0
"mmu-miR-8094",0,3,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-8095",0,0,0,0,6,0,7,0,19,0,0,0,0,0,0,0,0,0
"mmu-miR-8097",0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
"mmu-miR-8103",0,0,0,0,0,0,3,0,9,0,0,0,0,0,0,0,0,0
"mmu-miR-8105",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-8111",0,7,0,0,7,0,0,26,0,0,5,0,0,0,0,0,0,0
"mmu-miR-8112",3,37,13,7,13,0,38,29,9,30,5,2,0,0,4,0,0,0
"mmu-miR-8114",9,65,19,34,16,0,50,77,28,44,1,7,0,0,1,5,0,0
"mmu-miR-8116",0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
"mmu-miR-8120",0,0,0,0,8,0,0,0,0,11,0,0,0,0,0,0,0,0
"mmu-miR-871-3p",61,309,22,49,280,35,136,203,169,362,10,32,390,91,38,106,202,487
"mmu-miR-871-5p",0,6,0,0,10,0,13,33,4,96,4,0,0,0,3,0,74,297
"mmu-miR-872-5p",63,587,20,133,295,266,270,517,66,379,11,28,0,1,5,49,59,199
"mmu-miR-872-3p",19,212,21,92,138,83,193,245,149,199,20,9,0,0,10,66,0,90
"mmu-miR-874-3p",7,38,0,0,4,0,5,0,10,48,0,1,0,0,1,15,0,0
"mmu-miR-874-5p",0,0,0,0,0,0,0,14,6,0,0,0,0,0,0,0,0,0
"mmu-miR-877-5p",132,951,255,260,537,437,784,1028,986,1288,50,188,671,89,82,188,435,357
"mmu-miR-877-3p",9,76,0,44,20,4,22,133,14,86,0,6,0,0,1,0,0,0
"mmu-miR-878-5p",0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,37,0
"mmu-miR-879-5p",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-880-3p",0,0,0,0,6,0,0,0,0,16,0,0,0,0,0,0,0,0
"mmu-miR-881-3p",14,10,0,0,30,0,9,0,4,64,0,8,0,0,1,1,0,87
"mmu-miR-883a-5p",0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mmu-miR-9-5p",0,13,0,0,22,0,12,7,9,12,2,2,185,0,4,3,50,222
"mmu-miR-92a-3p",1739,9131,1682,2642,5864,2754,5472,9010,14523,8748,240,906,1048,946,339,2028,5466,4706
"mmu-miR-92a-1-5p",12,19,0,33,5,0,33,30,22,45,5,6,0,0,0,1,0,0
"mmu-miR-92b-3p",91,565,131,263,331,131,488,1040,429,1187,31,50,159,65,63,120,621,1684
"mmu-miR-93-5p",243,1545,229,333,823,466,1065,1419,1320,1395,38,168,126,2,126,347,573,1149
"mmu-miR-93-3p",0,32,0,68,9,0,25,0,32,0,15,0,0,0,0,0,0,41
"mmu-miR-96-5p",105,207,70,92,98,41,143,102,33,221,10,22,0,0,34,263,130,0
"mmu-miR-9769-3p",0,5,0,0,0,0,1,0,3,0,0,0,0,0,0,0,97,0
"mmu-miR-98-5p",40,389,31,34,301,80,88,424,233,222,0,43,494,0,30,109,578,813
"mmu-miR-98-3p",44,174,12,176,91,132,135,239,38,165,11,18,259,0,30,240,93,873
"mmu-miR-99a-5p",541,6480,1010,1272,3086,1016,2559,3129,2226,3581,189,276,11730,1172,996,2335,6971,25374
"mmu-miR-99a-3p",0,8,0,20,0,5,14,29,0,39,0,1,0,0,9,18,0,265
"mmu-miR-99b-5p",26023,386823,55388,44738,151971,40563,148834,230425,130121,201972,8648,16907,500756,21207,16757,86495,421150,461654
"mmu-miR-99b-3p",19,147,21,15,78,0,56,83,69,157,6,12,157,63,9,27,173,381
