## htsjdk.samtools.metrics.StringHeader
# MarkDuplicates INPUT=[/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_sorted.bam] OUTPUT=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_deduped.bam METRICS_FILE=/home/chan/mice_microgravity/outputs_primary/picard/SRR13535288_deduped.log REMOVE_DUPLICATES=true ASSUME_SORT_ORDER=coordinate TMP_DIR=[/home/chan/mice_microgravity/tmp] CREATE_INDEX=true    MAX_SEQUENCES_FOR_DISK_READ_ENDS_MAP=50000 MAX_FILE_HANDLES_FOR_READ_ENDS_MAP=8000 SORTING_COLLECTION_SIZE_RATIO=0.25 TAG_DUPLICATE_SET_MEMBERS=false REMOVE_SEQUENCING_DUPLICATES=false TAGGING_POLICY=DontTag CLEAR_DT=true DUPLEX_UMI=false ADD_PG_TAG_TO_READS=true ASSUME_SORTED=false DUPLICATE_SCORING_STRATEGY=SUM_OF_BASE_QUALITIES PROGRAM_RECORD_ID=MarkDuplicates PROGRAM_GROUP_NAME=MarkDuplicates READ_NAME_REGEX=<optimized capture of last three ':' separated fields as numeric values> OPTICAL_DUPLICATE_PIXEL_DISTANCE=100 MAX_OPTICAL_DUPLICATE_SET_SIZE=300000 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_MD5_FILE=false GA4GH_CLIENT_SECRETS=client_secrets.json USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Sun Nov 21 14:44:59 PST 2021

## METRICS CLASS	picard.sam.DuplicationMetrics
LIBRARY	UNPAIRED_READS_EXAMINED	READ_PAIRS_EXAMINED	SECONDARY_OR_SUPPLEMENTARY_RDS	UNMAPPED_READS	UNPAIRED_READ_DUPLICATES	READ_PAIR_DUPLICATES	READ_PAIR_OPTICAL_DUPLICATES	PERCENT_DUPLICATION	ESTIMATED_LIBRARY_SIZE
Unknown Library	610556	29795268	12875723	0	554034	18387137	0	0.62006	12588659

## HISTOGRAM	java.lang.Double
BIN	CoverageMult	all_sets	non_optical_sets
1190.0	0	1	1
1191.0	0	1	1
1192.0	0	1	1
1193.0	0	4	4
1194.0	0	1	1
1195.0	0	1	1
1196.0	0	5	5
1197.0	0	1	1
1199.0	0	1	1
1200.0	0	1	1
1202.0	0	1	1
1203.0	0	1	1
1204.0	0	2	2
1206.0	0	1	1
1207.0	0	1	1
1208.0	0	1	1
1210.0	0	1	1
1211.0	0	1	1
1213.0	0	1	1
1214.0	0	1	1
1215.0	0	1	1
1218.0	0	1	1
1219.0	0	2	2
1220.0	0	1	1
1221.0	0	1	1
1222.0	0	2	2
1223.0	0	1	1
1227.0	0	1	1
1229.0	0	1	1
1230.0	0	1	1
1231.0	0	1	1
1232.0	0	3	3
1234.0	0	3	3
1235.0	0	1	1
1236.0	0	3	3
1237.0	0	2	2
1238.0	0	2	2
1241.0	0	1	1
1242.0	0	1	1
1243.0	0	2	2
1246.0	0	2	2
1247.0	0	2	2
1248.0	0	2	2
1249.0	0	1	1
1250.0	0	1	1
1251.0	0	1	1
1253.0	0	2	2
1254.0	0	2	2
1255.0	0	1	1
1256.0	0	2	2
1257.0	0	2	2
1258.0	0	2	2
1259.0	0	3	3
1260.0	0	1	1
1261.0	0	1	1
1262.0	0	1	1
1263.0	0	1	1
1264.0	0	1	1
1265.0	0	1	1
1266.0	0	1	1
1267.0	0	1	1
1268.0	0	1	1
1269.0	0	1	1
1270.0	0	2	2
1271.0	0	2	2
1272.0	0	2	2
1273.0	0	3	3
1274.0	0	1	1
1275.0	0	2	2
1276.0	0	1	1
1278.0	0	2	2
1279.0	0	1	1
1280.0	0	2	2
1282.0	0	1	1
1283.0	0	1	1
1284.0	0	2	2
1286.0	0	2	2
1288.0	0	1	1
1289.0	0	1	1
1290.0	0	2	2
1291.0	0	1	1
1292.0	0	1	1
1293.0	0	1	1
1294.0	0	1	1
1296.0	0	1	1
1297.0	0	1	1
1298.0	0	1	1
1299.0	0	1	1
1301.0	0	1	1
1304.0	0	2	2
1305.0	0	1	1
1307.0	0	3	3
1308.0	0	2	2
1309.0	0	1	1
1312.0	0	3	3
1313.0	0	2	2
1314.0	0	2	2
1316.0	0	1	1
1318.0	0	1	1
1319.0	0	1	1
1321.0	0	2	2
1323.0	0	2	2
1325.0	0	1	1
1326.0	0	3	3
1327.0	0	1	1
1328.0	0	1	1
1329.0	0	2	2
1330.0	0	1	1
1331.0	0	1	1
1334.0	0	1	1
1335.0	0	2	2
1336.0	0	1	1
1338.0	0	2	2
1341.0	0	1	1
1342.0	0	1	1
1346.0	0	1	1
1347.0	0	2	2
1350.0	0	1	1
1352.0	0	3	3
1353.0	0	1	1
1354.0	0	1	1
1355.0	0	2	2
1356.0	0	1	1
1357.0	0	2	2
1358.0	0	3	3
1360.0	0	1	1
1361.0	0	2	2
1362.0	0	1	1
1363.0	0	1	1
1365.0	0	1	1
1366.0	0	2	2
1367.0	0	2	2
1369.0	0	1	1
1370.0	0	1	1
1371.0	0	1	1
1374.0	0	2	2
1376.0	0	1	1
1377.0	0	2	2
1378.0	0	1	1
1389.0	0	1	1
1390.0	0	4	4
1391.0	0	2	2
1392.0	0	2	2
1394.0	0	1	1
1396.0	0	1	1
1397.0	0	2	2
1398.0	0	1	1
1400.0	0	1	1
1401.0	0	1	1
1407.0	0	1	1
1408.0	0	2	2
1410.0	0	2	2
1411.0	0	2	2
1412.0	0	1	1
1415.0	0	2	2
1417.0	0	1	1
1419.0	0	1	1
1423.0	0	1	1
1424.0	0	2	2
1425.0	0	1	1
1426.0	0	1	1
1428.0	0	1	1
1432.0	0	1	1
1435.0	0	1	1
1438.0	0	1	1
1439.0	0	3	3
1440.0	0	3	3
1441.0	0	1	1
1442.0	0	1	1
1443.0	0	2	2
1445.0	0	3	3
1446.0	0	2	2
1447.0	0	1	1
1449.0	0	1	1
1450.0	0	1	1
1452.0	0	2	2
1454.0	0	1	1
1458.0	0	1	1
1460.0	0	1	1
1463.0	0	2	2
1467.0	0	1	1
1468.0	0	1	1
1469.0	0	1	1
1471.0	0	1	1
1472.0	0	2	2
1474.0	0	1	1
1475.0	0	1	1
1477.0	0	2	2
1478.0	0	2	2
1479.0	0	3	3
1480.0	0	1	1
1481.0	0	3	3
1482.0	0	1	1
1484.0	0	1	1
1487.0	0	1	1
1493.0	0	1	1
1494.0	0	1	1
1495.0	0	1	1
1496.0	0	1	1
1497.0	0	3	3
1501.0	0	1	1
1503.0	0	1	1
1505.0	0	1	1
1506.0	0	1	1
1507.0	0	1	1
1508.0	0	1	1
1510.0	0	2	2
1514.0	0	1	1
1515.0	0	1	1
1518.0	0	2	2
1520.0	0	1	1
1521.0	0	4	4
1523.0	0	1	1
1526.0	0	1	1
1530.0	0	1	1
1532.0	0	1	1
1533.0	0	2	2
1539.0	0	1	1
1541.0	0	1	1
1542.0	0	2	2
1545.0	0	3	3
1547.0	0	2	2
1549.0	0	1	1
1554.0	0	1	1
1555.0	0	1	1
1556.0	0	1	1
1560.0	0	1	1
1563.0	0	3	3
1564.0	0	1	1
1567.0	0	1	1
1568.0	0	1	1
1569.0	0	1	1
1572.0	0	3	3
1575.0	0	1	1
1576.0	0	2	2
1580.0	0	2	2
1583.0	0	1	1
1589.0	0	1	1
1590.0	0	2	2
1591.0	0	2	2
1592.0	0	2	2
1596.0	0	2	2
1597.0	0	1	1
1598.0	0	2	2
1599.0	0	2	2
1600.0	0	2	2
1601.0	0	1	1
1602.0	0	2	2
1605.0	0	1	1
1612.0	0	1	1
1619.0	0	2	2
1628.0	0	1	1
1629.0	0	1	1
1631.0	0	1	1
1633.0	0	2	2
1637.0	0	1	1
1638.0	0	3	3
1640.0	0	1	1
1644.0	0	1	1
1650.0	0	1	1
1654.0	0	1	1
1655.0	0	1	1
1660.0	0	2	2
1661.0	0	1	1
1665.0	0	1	1
1668.0	0	1	1
1670.0	0	1	1
1673.0	0	1	1
1676.0	0	1	1
1677.0	0	1	1
1678.0	0	1	1
1680.0	0	1	1
1681.0	0	1	1
1682.0	0	2	2
1683.0	0	2	2
1687.0	0	3	3
1689.0	0	1	1
1692.0	0	3	3
1693.0	0	1	1
1694.0	0	1	1
1696.0	0	1	1
1698.0	0	1	1
1701.0	0	1	1
1702.0	0	2	2
1703.0	0	1	1
1704.0	0	2	2
1705.0	0	1	1
1707.0	0	1	1
1709.0	0	1	1
1710.0	0	2	2
1715.0	0	2	2
1717.0	0	1	1
1718.0	0	1	1
1722.0	0	1	1
1723.0	0	2	2
1724.0	0	1	1
1726.0	0	1	1
1728.0	0	1	1
1729.0	0	1	1
1730.0	0	1	1
1732.0	0	1	1
1733.0	0	2	2
1735.0	0	3	3
1736.0	0	3	3
1737.0	0	1	1
1741.0	0	1	1
1743.0	0	1	1
1746.0	0	1	1
1747.0	0	1	1
1749.0	0	1	1
1750.0	0	1	1
1753.0	0	2	2
1762.0	0	1	1
1763.0	0	1	1
1767.0	0	1	1
1769.0	0	1	1
1773.0	0	1	1
1774.0	0	1	1
1776.0	0	3	3
1779.0	0	1	1
1781.0	0	1	1
1784.0	0	1	1
1786.0	0	1	1
1788.0	0	1	1
1789.0	0	1	1
1790.0	0	1	1
1794.0	0	1	1
1799.0	0	4	4
1802.0	0	1	1
1804.0	0	1	1
1807.0	0	1	1
1808.0	0	2	2
1811.0	0	1	1
1813.0	0	1	1
1818.0	0	1	1
1820.0	0	1	1
1823.0	0	2	2
1830.0	0	1	1
1831.0	0	1	1
1832.0	0	2	2
1833.0	0	1	1
1842.0	0	1	1
1844.0	0	2	2
1846.0	0	1	1
1850.0	0	1	1
1851.0	0	1	1
1853.0	0	1	1
1855.0	0	1	1
1858.0	0	1	1
1862.0	0	1	1
1864.0	0	2	2
1867.0	0	1	1
1873.0	0	1	1
1877.0	0	1	1
1887.0	0	1	1
1891.0	0	1	1
1893.0	0	1	1
1894.0	0	1	1
1896.0	0	1	1
1899.0	0	1	1
1903.0	0	1	1
1915.0	0	1	1
1918.0	0	1	1
1919.0	0	1	1
1920.0	0	2	2
1922.0	0	1	1
1923.0	0	1	1
1926.0	0	1	1
1927.0	0	3	3
1929.0	0	2	2
1930.0	0	1	1
1931.0	0	1	1
1941.0	0	1	1
1943.0	0	1	1
1944.0	0	1	1
1946.0	0	1	1
1948.0	0	2	2
1950.0	0	2	2
1954.0	0	1	1
1959.0	0	2	2
1962.0	0	1	1
1963.0	0	3	3
1964.0	0	1	1
1965.0	0	1	1
1966.0	0	1	1
1973.0	0	1	1
1976.0	0	1	1
1977.0	0	1	1
1981.0	0	1	1
1983.0	0	2	2
1987.0	0	1	1
1989.0	0	1	1
1990.0	0	1	1
1993.0	0	1	1
2000.0	0	1	1
2001.0	0	1	1
2004.0	0	1	1
2006.0	0	1	1
2009.0	0	1	1
2013.0	0	2	2
2019.0	0	1	1
2025.0	0	2	2
2026.0	0	1	1
2029.0	0	1	1
2035.0	0	1	1
2036.0	0	1	1
2037.0	0	1	1
2042.0	0	1	1
2043.0	0	2	2
2046.0	0	1	1
2052.0	0	1	1
2054.0	0	1	1
2056.0	0	1	1
2060.0	0	1	1
2066.0	0	2	2
2067.0	0	1	1
2068.0	0	1	1
2072.0	0	1	1
2077.0	0	2	2
2081.0	0	2	2
2082.0	0	1	1
2089.0	0	1	1
2090.0	0	2	2
2091.0	0	1	1
2092.0	0	1	1
2096.0	0	1	1
2097.0	0	1	1
2101.0	0	1	1
2102.0	0	2	2
2103.0	0	2	2
2104.0	0	1	1
2108.0	0	1	1
2112.0	0	1	1
2119.0	0	1	1
2120.0	0	1	1
2121.0	0	1	1
2123.0	0	1	1
2127.0	0	1	1
2128.0	0	1	1
2131.0	0	1	1
2132.0	0	1	1
2141.0	0	1	1
2143.0	0	2	2
2159.0	0	1	1
2178.0	0	1	1
2179.0	0	1	1
2186.0	0	1	1
2197.0	0	1	1
2202.0	0	1	1
2204.0	0	1	1
2205.0	0	1	1
2207.0	0	1	1
2208.0	0	1	1
2214.0	0	1	1
2222.0	0	1	1
2227.0	0	1	1
2232.0	0	2	2
2248.0	0	1	1
2254.0	0	1	1
2255.0	0	2	2
2256.0	0	1	1
2259.0	0	1	1
2275.0	0	1	1
2281.0	0	2	2
2286.0	0	1	1
2292.0	0	1	1
2293.0	0	1	1
2299.0	0	1	1
2303.0	0	1	1
2308.0	0	1	1
2309.0	0	1	1
2313.0	0	1	1
2321.0	0	1	1
2323.0	0	2	2
2324.0	0	1	1
2334.0	0	1	1
2337.0	0	1	1
2342.0	0	1	1
2344.0	0	1	1
2345.0	0	1	1
2346.0	0	1	1
2348.0	0	1	1
2350.0	0	1	1
2354.0	0	1	1
2358.0	0	1	1
2366.0	0	1	1
2370.0	0	1	1
2375.0	0	2	2
2377.0	0	1	1
2380.0	0	1	1
2383.0	0	1	1
2393.0	0	1	1
2398.0	0	1	1
2401.0	0	1	1
2404.0	0	1	1
2409.0	0	2	2
2423.0	0	1	1
2424.0	0	1	1
2428.0	0	1	1
2430.0	0	1	1
2434.0	0	1	1
2435.0	0	2	2
2440.0	0	1	1
2442.0	0	1	1
2448.0	0	1	1
2454.0	0	1	1
2457.0	0	1	1
2463.0	0	1	1
2467.0	0	1	1
2476.0	0	1	1
2482.0	0	1	1
2485.0	0	1	1
2488.0	0	1	1
2490.0	0	1	1
2492.0	0	1	1
2507.0	0	1	1
2511.0	0	1	1
2512.0	0	1	1
2514.0	0	1	1
2515.0	0	1	1
2518.0	0	1	1
2522.0	0	1	1
2527.0	0	1	1
2533.0	0	1	1
2535.0	0	1	1
2542.0	0	1	1
2545.0	0	2	2
2547.0	0	1	1
2549.0	0	1	1
2551.0	0	1	1
2561.0	0	1	1
2562.0	0	1	1
2563.0	0	1	1
2586.0	0	1	1
2593.0	0	1	1
2603.0	0	1	1
2607.0	0	1	1
2613.0	0	1	1
2619.0	0	1	1
2625.0	0	1	1
2636.0	0	1	1
2644.0	0	1	1
2666.0	0	1	1
2675.0	0	1	1
2676.0	0	1	1
2683.0	0	1	1
2684.0	0	1	1
2685.0	0	1	1
2707.0	0	1	1
2715.0	0	1	1
2720.0	0	1	1
2736.0	0	1	1
2740.0	0	1	1
2745.0	0	1	1
2750.0	0	1	1
2761.0	0	1	1
2762.0	0	1	1
2769.0	0	1	1
2770.0	0	1	1
2771.0	0	1	1
2774.0	0	1	1
2781.0	0	1	1
2783.0	0	1	1
2831.0	0	1	1
2844.0	0	1	1
2856.0	0	1	1
2859.0	0	1	1
2863.0	0	1	1
2869.0	0	1	1
2873.0	0	1	1
2882.0	0	1	1
2895.0	0	1	1
2903.0	0	1	1
2908.0	0	1	1
2927.0	0	1	1
2931.0	0	1	1
2932.0	0	1	1
2940.0	0	1	1
2956.0	0	1	1
2969.0	0	1	1
2970.0	0	1	1
2976.0	0	2	2
2977.0	0	1	1
2991.0	0	1	1
3004.0	0	1	1
3018.0	0	1	1
3024.0	0	1	1
3043.0	0	1	1
3051.0	0	1	1
3061.0	0	1	1
3093.0	0	1	1
3098.0	0	1	1
3102.0	0	1	1
3103.0	0	2	2
3116.0	0	1	1
3118.0	0	1	1
3120.0	0	1	1
3124.0	0	1	1
3130.0	0	1	1
3140.0	0	1	1
3153.0	0	1	1
3160.0	0	1	1
3170.0	0	1	1
3178.0	0	1	1
3205.0	0	1	1
3214.0	0	1	1
3231.0	0	1	1
3238.0	0	1	1
3244.0	0	1	1
3249.0	0	1	1
3256.0	0	1	1
3271.0	0	1	1
3288.0	0	1	1
3311.0	0	1	1
3320.0	0	1	1
3323.0	0	1	1
3327.0	0	1	1
3332.0	0	1	1
3350.0	0	1	1
3370.0	0	1	1
3379.0	0	1	1
3384.0	0	1	1
3424.0	0	1	1
3435.0	0	1	1
3437.0	0	1	1
3469.0	0	1	1
3504.0	0	1	1
3531.0	0	1	1
3532.0	0	1	1
3533.0	0	1	1
3538.0	0	1	1
3540.0	0	1	1
3544.0	0	1	1
3551.0	0	1	1
3555.0	0	1	1
3557.0	0	1	1
3559.0	0	1	1
3560.0	0	1	1
3562.0	0	1	1
3587.0	0	1	1
3670.0	0	1	1
3679.0	0	1	1
3682.0	0	1	1
3683.0	0	1	1
3706.0	0	1	1
3710.0	0	1	1
3723.0	0	1	1
3770.0	0	1	1
3774.0	0	1	1
3783.0	0	1	1
3789.0	0	1	1
3802.0	0	1	1
3807.0	0	1	1
3808.0	0	1	1
3811.0	0	1	1
3817.0	0	1	1
3835.0	0	1	1
3837.0	0	1	1
3843.0	0	1	1
3847.0	0	1	1
3854.0	0	1	1
3870.0	0	1	1
3890.0	0	1	1
3912.0	0	2	2
3914.0	0	1	1
3930.0	0	1	1
3947.0	0	1	1
3949.0	0	1	1
3967.0	0	1	1
3972.0	0	1	1
4027.0	0	1	1
4031.0	0	1	1
4050.0	0	1	1
4064.0	0	1	1
4078.0	0	1	1
4150.0	0	1	1
4152.0	0	1	1
4154.0	0	1	1
4234.0	0	1	1
4246.0	0	1	1
4256.0	0	1	1
4335.0	0	1	1
4363.0	0	1	1
4366.0	0	1	1
4374.0	0	1	1
4432.0	0	1	1
4437.0	0	1	1
4512.0	0	1	1
4544.0	0	1	1
4566.0	0	1	1
4611.0	0	1	1
4684.0	0	1	1
4712.0	0	1	1
4754.0	0	1	1
4760.0	0	1	1
4826.0	0	1	1
4840.0	0	1	1
4926.0	0	1	1
5030.0	0	1	1
5085.0	0	1	1
5233.0	0	1	1
5235.0	0	1	1
5237.0	0	1	1
5298.0	0	1	1
5462.0	0	1	1
5488.0	0	1	1
5497.0	0	1	1
5512.0	0	1	1
5517.0	0	1	1
5552.0	0	1	1
5567.0	0	1	1
5606.0	0	1	1
5617.0	0	1	1
5648.0	0	1	1
5695.0	0	1	1
5877.0	0	1	1
5926.0	0	1	1
5951.0	0	1	1
5972.0	0	1	1
6149.0	0	1	1
6184.0	0	1	1
6227.0	0	1	1
6594.0	0	1	1
6681.0	0	1	1
6710.0	0	1	1
6991.0	0	1	1
7045.0	0	1	1
7048.0	0	1	1
7302.0	0	1	1
7306.0	0	1	1
7389.0	0	2	2
7444.0	0	1	1
7490.0	0	1	1
8110.0	0	1	1
8424.0	0	1	1
8509.0	0	1	1
10765.0	0	1	1
11286.0	0	1	1
11303.0	0	1	1
11858.0	0	1	1
12171.0	0	1	1
13267.0	0	1	1
13669.0	0	1	1

